gene	gene_class	nonsyn_abnormal_n	nonsyn_abnormal_rate	nonsyn_normal_n	nonsyn_normal_rate	nonsyn_control_n	nonsyn_control_rate	nonsyn_rate_ab_minus_normal	nonsyn_rate_ab_minus_control	rare_abnormal_n	rare_abnormal_rate	rare_normal_n	rare_normal_rate	rare_control_n	rare_control_rate	rare_rate_ab_minus_normal	rare_rate_ab_minus_control
ASXL3	polycomb	77	1.0	409	0.9784688995215312	149	0.9738562091503268	0.021531100478468845	0.02614379084967322	1	0.012987012987012988	53	0.12679425837320574	11	0.0718954248366013	-0.11380724538619275	-0.05890841184958831
BRDT	histone_read	77	1.0	416	0.9952153110047847	152	0.9934640522875817	0.004784688995215336	0.006535947712418277	0	0.0	6	0.014354066985645933	1	0.006535947712418301	-0.014354066985645933	-0.006535947712418301
ELP4	histone_write	77	1.0	412	0.9856459330143541	149	0.9738562091503268	0.014354066985645897	0.02614379084967322	1	0.012987012987012988	5	0.011961722488038277	3	0.0196078431372549	0.0010252904989747104	-0.006620830150241914
ERCC6	chromatin_remodeling	77	1.0	417	0.9976076555023924	153	1.0	0.0023923444976076125	0.0	5	0.06493506493506493	34	0.08133971291866028	10	0.06535947712418301	-0.016404647983595352	-0.0004244121891180813
METTL4	dna_modification	77	1.0	416	0.9952153110047847	152	0.9934640522875817	0.004784688995215336	0.006535947712418277	3	0.03896103896103896	5	0.011961722488038277	3	0.0196078431372549	0.026999316473000683	0.01935319582378406
MTA1	chromatin_remodeling	77	1.0	414	0.9904306220095693	153	1.0	0.009569377990430672	0.0	1	0.012987012987012988	4	0.009569377990430622	1	0.006535947712418301	0.0034176349965823662	0.006451065274594687
NAT10	histone_write	77	1.0	415	0.992822966507177	152	0.9934640522875817	0.0071770334928229484	0.006535947712418277	4	0.05194805194805195	10	0.023923444976076555	1	0.006535947712418301	0.028024606971975397	0.04541210423563365
NCOA3	histone_write	77	1.0	413	0.9880382775119617	153	1.0	0.011961722488038284	0.0	1	0.012987012987012988	8	0.019138755980861243	4	0.026143790849673203	-0.006151742993848255	-0.013156777862660216
PHIP	histone_read	77	1.0	413	0.9880382775119617	150	0.9803921568627451	0.011961722488038284	0.019607843137254943	1	0.012987012987012988	2	0.004784688995215311	4	0.026143790849673203	0.008202323991797676	-0.013156777862660216
PRKCA	histone_write	77	1.0	412	0.9856459330143541	151	0.9869281045751634	0.014354066985645897	0.013071895424836555	0	0.0	1	0.0023923444976076554	0	0.0	-0.0023923444976076554	0.0
